event_time,VOLTAGE,CURRENT,estSOC,estSOH_R,estSOH_C
"2020-06-27 13:08:22",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:08:26",706.799988,0.0,81.182251,99.731705,99.449997
"2020-06-27 13:08:29",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:08:33",706.799988,0.0,81.182251,99.731705,99.449997
"2020-06-27 13:08:36",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:08:40",706.799988,0.0,81.182251,99.731705,99.449997
"2020-06-27 13:08:43",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:08:46",706.799988,0.0,81.182251,99.731705,99.449997
"2020-06-27 13:08:50",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:08:53",706.799988,0.0,81.182251,99.731705,99.449997
"2020-06-27 13:08:57",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:09:01",706.799988,0.0,81.182251,99.731705,99.449997
"2020-06-27 13:09:04",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:09:07",706.799988,0.0,81.182251,99.731705,99.449997
"2020-06-27 13:09:11",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:09:14",706.799988,0.0,81.182251,99.731705,99.449997
"2020-06-27 13:09:17",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:09:21",706.799988,0.0,81.182251,99.731705,99.449997
"2020-06-27 13:09:24",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:09:27",706.799988,0.0,81.182251,99.731705,99.449997
"2020-06-27 13:09:31",706.799988,0.0,81.182175,99.731705,99.449997
"2020-06-27 13:09:34",706.700012,0.0,81.125023,99.731705,99.449997
"2020-06-27 13:09:37",706.700012,0.0,81.136398,99.731705,99.449997
"2020-06-27 13:09:41",706.799988,0.0,81.17421,99.731705,99.449997
"2020-06-27 13:09:44",706.700012,0.0,81.112831,99.731705,99.449997
"2020-06-27 13:09:47",706.799988,0.0,81.193703,99.731705,99.449997
"2020-06-27 13:09:51",706.799988,0.0,81.159111,99.731705,99.449997
"2020-06-27 13:09:54",706.799988,0.0,81.190285,99.731705,99.449997
"2020-06-27 13:09:57",706.799988,0.0,81.173668,99.731705,99.449997
"2020-06-27 13:10:01",706.799988,0.0,81.186363,99.731705,99.449997
"2020-06-27 13:10:04",706.799988,0.0,81.178833,99.731705,99.449997
"2020-06-27 13:10:07",706.799988,0.0,81.184151,99.731705,99.449997
"2020-06-27 13:10:11",706.799988,0.0,81.180809,99.731705,99.449997
"2020-06-27 13:10:14",706.799988,0.0,81.183105,99.731705,99.449997
"2020-06-27 13:10:17",706.799988,0.0,81.181587,99.731705,99.449997
"2020-06-27 13:10:21",706.799988,0.0,81.182602,99.731705,99.449997
"2020-06-27 13:10:24",706.799988,0.0,81.181938,99.731705,99.449997
"2020-06-27 13:10:27",706.700012,0.0,81.125175,99.731705,99.449997
